Angle , Cl     , Cd    , Re
-180  , 0      , 0     ,  20000
-170  , 0.257  , 0.0453,  20000
-160  , 0.5123 , 0.1865,  20000
-150  , 0.52   , 0.3002,  20000
-140  , 0.5232 , 0.439 ,  20000
-130  , 0.491  , 0.5852,  20000
-120  , 0.4158 , 0.7203,  20000
-110  , 0.3009 , 0.8268,  20000
-100  , 0.1571 , 0.8907,  20000
-90   , 0      , 0.903 ,  20000
-80   , -0.1571, 0.8907,  20000
-70   , -0.3009, 0.8268,  20000
-60   , -0.4158, 0.7203,  20000
-50   , -0.491 , 0.5852,  20000
-40   , -0.5232, 0.439 ,  20000
-30   , -0.52  , 0.3002,  20000
-20.03, -0.5123, 0.1868,  20000
-19.86, -0.622 , 0.2994,  20000
-18.03, -0.58  , 0.2676,  20000
-18.02, -0.596 , 0.2585,  20000
-16.01, -0.565 , 0.2125,  20000
-15.01, -0.575 , 0.2094,  20000
-14.02, -0.543 , 0.1767,  20000
-13.99, -0.556 , 0.1874,  20000
-12.04, -0.498 , 0.1544,  20000
-11.98, -0.515 , 0.1521,  20000
-10.05, -0.474 , 0.1321,  20000
-9.99 , -0.495 , 0.1316,  20000
-8.07 , -0.454 , 0.1128,  20000
-8.02 , -0.464 , 0.1111,  20000
-6.05 , -0.437 , 0.0847,  20000
-6.01 , -0.454 , 0.0859,  20000
-4.02 , -0.298 , 0.0488,  20000
-4.01 , -0.306 , 0.0459,  20000
-2.03 , -0.103 , 0.0284,  20000
-1.03 , -0.103 , 0.0248,  20000
-0.03 , 0.011  , 0.0239,  20000
0.02  , 0.009  , 0.0307,  20000
1.95  , 0.198  , 0.0294,  20000
2.02  , 0.188  , 0.0268,  20000
3.94  , 0.443  , 0.0383,  20000
4.03  , 0.445  , 0.0373,  20000
5.92  , 0.692  , 0.0606,  20000
6     , 0.675  , 0.0661,  20000
7.94  , 0.694  , 0.0835,  20000
7.99  , 0.688  , 0.0883,  20000
9.97  , 0.686  , 0.1109,  20000
10    , 0.679  , 0.1089,  20000
11.95 , 0.654  , 0.1314,  20000
11.97 , 0.658  , 0.1291,  20000
13.97 , 0.636  , 0.1556,  20000
14.01 , 0.634  , 0.164 ,  20000
15.94 , 0.693  , 0.2169,  20000
16    , 0.689  , 0.2222,  20000
17.96 , 0.714  , 0.2409,  20000
18.02 , 0.717  , 0.2348,  20000
19.94 , 0.732  , 0.2703,  20000
20    , 0.7319 , 0.2664,  20000
30    , 0.7429 , 0.4289,  20000
40    , 0.7474 , 0.6271,  20000
50    , 0.7015 , 0.836 ,  20000
60    , 0.5941 , 1.0289,  20000
70    , 0.4299 , 1.1811,  20000
80    , 0.2244 , 1.2724,  20000
90    , 0      , 1.29  ,  20000
100   , -0.1571, 0.8907,  20000
110   , -0.3009, 0.8268,  20000
120   , -0.4158, 0.7203,  20000
130   , -0.491 , 0.5852,  20000
140   , -0.5232, 0.439 ,  20000
150   , -0.52  , 0.3002,  20000
160   , -0.5123, 0.1865,  20000
170   , -0.257 , 0.0453,  20000
180   , 0      , 0     ,  20000
-180  , 0      , 0     ,  30000
-170  , 0.2675 , 0.0481,  30000
-160  , 0.5332 , 0.1979,  30000
-150  , 0.5322 , 0.3108,  30000
-140  , 0.5306 , 0.4483,  30000
-130  , 0.4954 , 0.593 ,  30000
-120  , 0.4182 , 0.7263,  30000
-110  , 0.3019 , 0.8309,  30000
